iter	Passed	Remaining
947	726	2338
948	726	2337
949	727	2335
950	728	2334
951	728	2333
952	729	2332
953	730	2331
954	730	2330
955	731	2329
956	732	2328
957	732	2327
958	733	2326
959	734	2325
960	734	2324
961	735	2322
962	736	2321
963	736	2320
964	737	2319
965	738	2318
966	738	2317
967	739	2315
968	740	2314
969	740	2313
970	741	2312
971	741	2311
972	742	2310
973	743	2309
974	744	2308
975	744	2307
976	745	2306
977	745	2304
978	746	2303
979	747	2302
980	747	2301
981	748	2300
982	749	2299
983	749	2298
984	750	2297
985	751	2296
986	751	2295
987	752	2294
988	753	2293
989	753	2291
990	754	2290
991	755	2289
992	755	2288
993	756	2287
994	756	2285
995	757	2284
996	758	2283
997	758	2282
998	759	2281
999	760	2280
1000	760	2279
1001	761	2278
1002	762	2277
1003	762	2276
1004	763	2275
1005	764	2273
1006	764	2272
1007	765	2271
1008	766	2271
1009	766	2270
1010	767	2270
1011	768	2269
1012	769	2268
1013	770	2267
1014	771	2267
1015	772	2268
1016	773	2267
1017	773	2266
1018	774	2265
1019	775	2264
1020	775	2264
1021	776	2263
1022	777	2262
1023	778	2261
1024	778	2260
1025	779	2259
1026	780	2258
1027	781	2258
1028	781	2257
1029	782	2256
1030	783	2255
1031	783	2254
1032	784	2253
1033	785	2252
1034	785	2250
1035	786	2250
1036	787	2249
1037	787	2248
1038	789	2249
1039	789	2248
1040	790	2247
1041	791	2246
1042	791	2245
1043	792	2244
1044	793	2243
1045	794	2242
1046	794	2241
1047	795	2239
1048	795	2238
1049	796	2237
1050	797	2236
1051	797	2235
1052	798	2234
1053	799	2233
1054	799	2232
1055	800	2231
1056	801	2230
1057	801	2229
1058	802	2228
1059	803	2227
1060	803	2226
1061	804	2225
1062	804	2224
1063	805	2223
1064	806	2221
1065	806	2220
1066	807	2220
1067	808	2219
1068	809	2218
1069	809	2217
1070	810	2216
1071	810	2215
1072	811	2213
1073	812	2212
1074	812	2212
1075	813	2210
1076	814	2210
1077	814	2208
1078	815	2207
1079	816	2207
1080	817	2206
1081	817	2205
1082	818	2204
1083	819	2203
1084	819	2202
1085	820	2201
1086	821	2200
1087	821	2199
1088	822	2198
1089	823	2197
1090	823	2196
1091	824	2195
1092	825	2194
1093	825	2193
1094	826	2192
1095	827	2191
1096	827	2190
1097	828	2188
1098	828	2188
1099	829	2187
1100	830	2186
1101	831	2185
1102	831	2184
1103	832	2183
1104	833	2182
1105	833	2181
1106	834	2180
1107	835	2179
1108	835	2178
1109	836	2177
1110	837	2176
1111	837	2175
1112	838	2174
1113	839	2173
1114	839	2172
1115	840	2171
1116	840	2170
1117	841	2169
1118	842	2168
1119	842	2167
1120	843	2166
1121	844	2165
1122	844	2164
1123	845	2162
1124	846	2162
1125	846	2161
1126	847	2159
1127	847	2158
1128	848	2157
1129	849	2156
1130	849	2155
1131	850	2154
1132	851	2153
1133	851	2153
1134	852	2152
1135	853	2151
1136	853	2150
1137	854	2148
1138	855	2147
1139	855	2146
1140	856	2145
1141	857	2144
1142	857	2143
1143	858	2143
1144	859	2142
1145	859	2140
1146	860	2139
1147	860	2138
1148	861	2138
1149	862	2136
1150	862	2135
1151	863	2134
1152	864	2134
1153	864	2132
1154	865	2131
1155	866	2130
1156	866	2129
1157	867	2128
1158	868	2128
1159	868	2126
1160	869	2125
1161	870	2124
1162	870	2123
1163	871	2122
1164	871	2121
1165	872	2119
1166	872	2118
1167	873	2117
1168	874	2117
1169	874	2116
1170	875	2115
1171	876	2114
1172	876	2113
1173	877	2112
1174	878	2111
1175	879	2110
1176	879	2109
1177	880	2108
1178	880	2107
1179	881	2106
1180	882	2105
1181	882	2104
1182	883	2103
1183	884	2102
1184	884	2102
1185	885	2101
1186	886	2100
1187	886	2099
1188	887	2098
1189	888	2097
1190	889	2096
1191	889	2095
1192	890	2094
1193	891	2093
1194	891	2092
1195	892	2091
1196	893	2091
1197	893	2090
1198	894	2089
1199	895	2089
1200	896	2088
1201	896	2087
1202	897	2087
1203	898	2086
1204	899	2085
1205	899	2084
1206	900	2083
1207	901	2083
1208	902	2082
1209	902	2082
1210	904	2082
1211	904	2081
1212	905	2081
1213	906	2080
1214	907	2080
1215	908	2080
1216	909	2080
1217	910	2079
1218	911	2078
1219	911	2078
1220	912	2077
1221	913	2076
1222	914	2076
1223	915	2075
1224	915	2074
1225	916	2074
1226	917	2073
1227	918	2072
1228	918	2071
1229	919	2070
1230	920	2069
1231	920	2068
1232	921	2068
1233	922	2068
1234	923	2067
1235	924	2068
1236	925	2067
1237	926	2066
1238	926	2065
1239	927	2064
1240	928	2063
1241	928	2062
1242	929	2061
1243	930	2061
1244	931	2060
1245	931	2059
1246	932	2058
1247	932	2057
1248	933	2056
1249	934	2055
1250	934	2054
1251	935	2053
1252	936	2053
1253	937	2052
1254	937	2051
1255	938	2050
1256	939	2049
1257	939	2048
1258	940	2047
1259	941	2046
1260	941	2045
1261	942	2044
1262	942	2043
1263	943	2042
1264	944	2041
1265	944	2040
1266	945	2039
1267	946	2038
1268	946	2037
1269	947	2036
1270	948	2035
1271	948	2034
1272	949	2033
1273	949	2032
1274	950	2031
1275	951	2030
1276	951	2029
1277	952	2028
1278	953	2028
1279	953	2027
1280	954	2026
1281	955	2025
1282	955	2024
1283	956	2023
1284	957	2022
1285	957	2021
1286	958	2020
1287	958	2019
1288	959	2018
1289	960	2017
1290	960	2016
1291	961	2015
1292	962	2014
1293	962	2013
1294	963	2012
1295	964	2011
1296	964	2010
1297	965	2009
1298	966	2008
1299	966	2007
1300	967	2006
1301	967	2005
1302	968	2004
